, AAVE , BNB , BTC , ADA , LINK , ATOM , CRO , DOGE , EOS , ETH ,IOTA,LTC,XMR,XEM,DOT,SOL,XLM,TRX,WBTC,XRP
 alpha ,-0.0132,0.0422,0.0103,0.012,0.0116,-0.0166,-0.0016,0.0205,-0.0103,-0.0076,-0.005256044,-0.012018486,-0.012456815,-0.016043811,-0.014816729,-0.002352739,0.002000177,0.022663218,-0.013430917,-0.005779826
 beta ,0.0021,0.0062,0.0068,0.0107,0.0073,0.0052,0.0017,0.0145,0.0087,0.0065,0.007749387,0.008252471,0.010685488,0.004871291,-0.000187668,0.002453754,0.007705481,0.012153334,0.004998961,0.010412236
 MSE ,0.0187,0.0501,0.008,0.1552,0.0487,0.0106,0.0307,0.0413,0.05,0.0274,0.012980216,0.079855918,0.010159632,0.050662329,0.001303093,0.007453217,0.123634406,1.508688677,0.003513876,0.201351297
 R2 ,0.0211,0.0088,-0.1403,0.126,-0.1291,-0.0614,0.0092,-0.0555,-0.0387,0.1381,0.05632867,-0.032289193,0.14959912,-0.132377968,-0.019962492,-0.216735684,-0.084289915,-0.094022004,0.111874717,-0.12402512
,,,,,,,,,,,,,,,,,,,,
, IOTA , LTC , XMR , XEM , DOT , SOL , XLM , TRX , WBTC , XRP ,,,,,,,,,,
 alpha ,-0.0053,-0.012,-0.0125,-0.016,-0.0148,-0.0024,0.002,0.0227,-0.0134,-0.0058,,,,,,,,,,
 beta ,0.0077,0.0083,0.0107,0.0049,-0.0002,0.0025,0.0077,0.0122,0.005,0.0104,,,,,,,,,,
 MSE ,0.013,0.0799,0.0102,0.0507,0.0013,0.0075,0.1236,1.5087,0.0035,0.2014,,,,,,,,,,
 R2 ,0.0563,0.0323,0.1496,-0.1324,-0.02,0.2167,0.0843,0.094,0.1119,0.124,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
alpha,-0.0005,,,,,,,,,,,,,,,,,,,
,Mean,StDev,Skewness,Kurtosis,P-value,R-Squared,,,,,,,,,,,,,,
betaRM,0.0069,0.004,0.561,4.359,0.009,0.036,,,,,,,,,,,,,,
MSE,2.4403,,,,,,,,,,,,,,,,,,,
r squared,0.0297,,,,,,,,,,,,,,,,,,,
