,AAVE,BNB,BTC,ADA,LINK,ATOM,CRO,DOGE,EOS,ETH,IOTA,LTC,XMR,XEM,DOT,SOL,XLM,TRX,WBTC,XRP
alpha,-0.0126,0.0451,-0.0094,0.0158,0.0121,-0.0147,-0.0021,0.0213,-0.0095,-0.0061,-0.003815482,-0.010709426,-0.012053751,-0.013655936,-0.013395911,-0.000331833,0.004240057,0.024554978,-0.012449022,-0.005088125
betaRM,-0.0001,0.0048,0.0063,0.0086,0.0072,0.004,0.004,0.0129,0.0091,0.0049,0.007633536,0.007270705,0.010374237,0.003066715,-0.001864506,0.000303062,0.006619793,0.010974622,0.004057441,0.009644945
betaSMB,0.017,-0.0082,-0.0019,-0.0075,-0.002,-0.0021,-0.0184,0.0104,-0.0106,0.0051,-0.00946839,0.00010769,0.000122234,0.000332816,0.006192357,0.006478281,-0.00572144,-0.002230484,0.002119536,0.002527136
betaHML,0.0021,0.0131,0.0041,0.0169,0.0019,0.0084,-0.0016,0.0027,0.0043,0.0062,0.00663517,0.005604099,0.00172117,0.01021586,0.005785891,0.008343323,0.009877313,0.008215153,0.004103956,0.002840562
MSE,0.0065,0.8086,0.0076,0.0169,0.0278,0.015,0.032,0.0276,0.0184,0.0153,0.059364682,0.009209711,0.05533804,0.028979153,0.005348803,0.008520182,0.0263352,0.021991534,0.002546906,0.021235864
R2,-0.1683,0.0662,0.027,-0.0189,0.0731,0.0447,0.0446,0.2404,0.0911,0.1099,-0.113561589,0.096056447,-0.017282765,0.018684622,-0.196636862,-0.226568268,-0.277319258,-1.086545114,0.15214043,-0.224067913
,,,,,,,,,,,,,,,,,,,,
, IOTA , LTC , XMR , XEM , DOT , SOL , XLM , TRX , WBTC , XRP ,,,,,,,,,,
alpha,-0.0038,-0.0107,-0.0121,-0.0137,-0.0134,-0.0003,0.0042,0.0246,-0.0124,-0.0051,,,,,,,,,,
betaRM,0.0076,0.0073,0.0104,0.0031,-0.0019,0.0003,0.0066,0.011,0.0041,0.0096,,,,,,,,,,
betaSMB,-0.0095,0.0001,0.0001,0.0003,0.0062,0.0065,-0.0057,-0.0022,0.0021,0.0025,,,,,,,,,,
betaHML,0.0066,0.0056,0.0017,0.0102,0.0058,0.0083,0.0099,0.0082,0.0041,0.0028,,,,,,,,,,
MSE,0.0594,0.0092,0.0553,0.029,0.0053,0.0085,0.0263,0.022,0.0025,0.0212,,,,,,,,,,
R2,0.2136,0.1961,0.0173,0.0187,0.1966,0.2266,-0.2773,-0.2346,0.1521,-0.1241,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Mean,StDev,Skewness,Kurtosis,P-value,R-Squared,,,,,,,,,,,,,,
betaRM,0.006,0.004,0.325,4.532,0.195,0.042,,,,,,,,,,,,,,
betaSMB,-0.009,0.007,0.234,3.234,0.235,0.085,,,,,,,,,,,,,,
betaHML,0.0061,0.003,0.679,8.324,0.432,0.064,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
alpha,-0.0001,,,,,,,,,,,,,,,,,,,
MSE,1.2146,,,,,,,,,,,,,,,,,,,
R2,0.0447,,,,,,,,,,,,,,,,,,,
